Date,Open,High,Low,Close,Volume
11/30/2022,"120.50","121.10","118.70","120.00","56,817,059"
11/29/2022,"115.70","121.00","113.40","120.50","106,788,203"
11/28/2022,"114.50","117.50","113.80","115.10","86,237,148"
11/25/2022,"112.00","114.00","110.50","113.80","84,417,961"
11/24/2022,"112.80","114.50","111.30","111.60","86,424,867"
11/23/2022,"111.60","113.50","110.90","112.50","82,450,711"
11/22/2022,"107.80","111.20","107.20","111.20","93,556,680"
11/21/2022,"106.70","107.80","104.40","106.90","62,238,008"
11/18/2022,"107.50","109.40","105.70","106.60","71,912,625"
11/17/2022,"105.00","108.90","101.40","107.00","116,388,797"
11/16/2022,"109.50","109.60","104.10","104.60","99,354,688"
11/15/2022,"112.20","113.10","107.90","109.00","88,566,844"
11/14/2022,"107.50","111.70","107.50","109.70","81,824,062"
11/11/2022,"115.10","115.60","111.10","111.50","80,553,000"
11/10/2022,"111.30","114.30","110.90","113.40","72,960,172"
11/09/2022,"113.00","116.20","111.00","111.20","89,212,648"
11/08/2022,"107.20","115.50","105.60","113.00","120,082,398"
11/07/2022,"104.90","107.60","102.80","107.20","108,494,000"
11/04/2022,"102.10","106.40","101.80","104.20","112,457,906"
11/03/2022,"103.00","104.50","101.00","101.80","104,108,203"
11/02/2022,"102.70","102.80","100.40","100.80","59,575,512"
11/01/2022,"102.30","104.80","101.10","102.40","62,304,727"
10/31/2022,"97.70","101.50","96.80","101.30","65,210,898"
10/28/2022,"98.70","99.25","96.95","96.95","19,054,680"
10/27/2022,"99.10","100.40","96.50","99.40","89,189,242"
10/26/2022,"101.20","102.10","98.80","98.80","56,884,352"
10/25/2022,"100.10","102.10","99.55","100.50","62,932,340"
10/24/2022,"98.50","100.20","97.30","99.50","77,909,023"
10/21/2022,"99.05","99.55","97.60","97.95","59,199,898"
10/20/2022,"97.60","100.90","97.35","99.05","80,341,289"
10/19/2022,"97.70","99.00","96.75","97.40","64,208,320"
10/18/2022,"99.70","100.50","95.90","97.25","74,182,195"
10/17/2022,"90.40","98.90","89.60","98.45","94,313,633"
10/14/2022,"90.20","90.45","88.65","90.00","61,841,930"
10/13/2022,"85.60","88.30","85.40","88.00","93,869,664"
10/12/2022,"84.60","86.05","83.85","85.10","77,791,039"
10/11/2022,"86.30","86.50","84.50","84.50","60,427,727"
10/10/2022,"84.50","86.45","84.30","86.15","74,555,938"
10/07/2022,"85.10","86.55","83.60","84.20","68,721,297"
10/06/2022,"84.95","85.15","83.40","84.70","71,999,242"
